"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001508031","밝은 밤 :최은영 장편소설","최은영 지음","문학동네","2021","9788954681179","8","7"
"000001515784","방금 떠나온 세계 :김초엽 소설집","김초엽 지음","한겨레출판: 한겨레엔","2021","9791160406504","8","7"
"000001516812","벼랑 끝, 상담 :마음의 상처를 치료하기 위한 17명의 상담사례와 30가지 심리치료","최고야","푸른향기","2021","9788967821500","1","7"
"000001473803","보다 읽다 말하다 :김영하 인사이트 3부작","김영하 지음","복복서가","2021","9791191114102","8","7"
"000000970990","부의 추월차선 :30대에 억대 연봉을 만드는 55가지 역발상 .[2] ,직장인 편","고도 토키오 지음","북새통: 토트출판사","2017","9791187444084","3","7"
"000000298646","브람스를 좋아하세요..","프랑수아즈 사강 지음","민음사","2011","9788937461798","8","7"
"000001612319","블랙 쇼맨과 환상의 여자","히가시노 게이고 지음","알에이치코리아(RHK)","2023","9788925576633","8","7"
"000001509147","사랑의 기술","에리히 프롬 지음","문예출판사","2021","9788931011623","1","7"
"000001395182","소원 떡집","김리리 글","비룡소","2020","9788949162058","8","7"
"000001185788","수영하는 여자들 :리비 페이지 장편소설","리비 페이지 [지음]","구픽","2018","9791187886297","8","7"
"000001303893","숨 :테드 창 소설","테드 창 [지음]","엘리 : 북하우스 퍼블리셔스","2019","9791164050277","8","7"
"000001589744","신경 끄기 연습 :걱정, 초조, 두려움을 뛰어넘는 61가지 심리 기술","나이토 요시히토 지음","유노책주: 유노콘텐츠그룹","2023","9791192300405","1","7"
"000001590727","실버뷰 :존 르 카레 장편소설","존 르 카레 지음","RHK(알에이치코리아)","2023","9788925577081","8","7"
"000001280279","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가","제임스 클리어 지음","비즈니스북스","2019","9791162540640","1","7"
"000001587254","안젤리크 :기욤 뮈소 장편소설","기욤 뮈소 지음","밝은세상","2022","9788984374546","8","7"
"000001554289","애쓰지 않아도 :최은영 짧은 소설","최은영 지음","마음산책","2022","9788960907348","8","7"
"000001555460","어느 날, 내 죽음에 네가 들어왔다","세이카 료겐 지음","바이포엠 스튜디오","2022","9791191043723","8","7"
"000001412740","어린이라는 세계 :김소영 에세이","김소영 지음","사계절: 사계절출판사","2020","9791160946918","8","7"
"000001610036","어쩔뚱땡! 고구마머리TV :호기심?상상력이 숙쑥 자라나는 과학학습만화 .1 ,우주 탐험 1","서동건 글","아울북 : 북이십일","2021","9788950994747","4","7"
"000001592696","언어의 무게 :파스칼 메르시어 장편소설","파스칼 메르시어 지음","비채: 김영사","2023","9788934981190","8","7"
"000001592026","엣지 :한 끗의 차이를 만드는 내 안의 힘","로라 후앙 지음","세계사","2023","9788933871942","3","7"
"000001619837","완벽한 챗GPT 강의","이정혁 지음","BM성안당","2023","9788931559835","0","7"
"000001563121","우리는 어디서 살아야 하는가 :인문학자가 직접 고른 살기 좋고 사기 좋은 땅","김시덕 지음","포레스트북스: 콘텐츠그룹 포레스트","2022","9791191347975","3","7"
"000001589686","음식 중독 :먹고 싶어서 먹는다는 착각","마이클 모스 지음","민음사","2023","9788937469268","5","7"
"000001619590","이끼숲 :천선란 연작소설","천선란 지음","자이언트북스","2023","9791191824216","8","7"
"000001516718","이어령의 마지막 수업","김지수 지음","열림원","2021","9791170400523","1","7"
"000001271049","익명의 독서 중독자들","이창현 글","사계절: 사계절출판사","2018","9791160944150","8","7"
"000001348049","일의 기쁨과 슬픔 :장류진 소설집","장류진 [지음]","창비","2019","9788936438036","8","7"
"000001577236","창발의 시대 :경제혁명, 종교개혁, 르네상스, 그리고 세계를 뒤흔든 40년의 역사","패트릭 와이먼 지음","Connecting: 로크미디어","2022","9791140802586","3","7"
"000001590510","챗GPT :마침내 찾아온 특이점 : 2023 전 세계를 뒤흔든 빅이슈의 탄생","반병현 지음","생능북스: 생능출판사","2023","9791192932057","3","7"
"000001397603","천 개의 파랑 :한국과학문학상 장편 대상 : 천선란 장편소설","천선란 지음","허블","2020","9791190090261","8","7"
"000001570015","테마파크에서 살아남기","포도알친구 글","Mirae N 아이세움 : 미래엔","2022","9791168410992","4","7"
"000001562867","튜브 :손원평 장편소설","손원평 지음","창비","2022","9788936434625","8","7"
"000001103910","파친코 :이민진 장편소설 .2","이민진 지음","문학사상","2018","9788970129822","8","7"
"000001564118","파친코 :이민진 장편소설 .2","이민진 지음","인플루엔셜","2022","9791168340541","8","7"
"000000933044","피프티 피플 :정세랑 장편소설","정세랑 지음","창비","2016","9788936434243","8","7"
"000001008112","해가 지는 곳으로 :최진영 장편소설","최진영 [지음]","민음사","2017","9788937473166","8","7"
"000001384504","현명한 투자자 :벤저민 그레이엄 직접 쓴 마지막 개정판 .1","벤저민 그레이엄 지음","국일증권경제연구소 : 국일미디어","2020","9788957821305","3","7"
"000001619830","형사 박미옥","박미옥","이야기장수: 문학동네","2023","9788954692519","8","7"
"000001589461","화이트 러시 =White rush","히가시노 게이고 지음","소미미디어","2023","9791138415477","8","7"
"000000509613","(EBS 다큐프라임) 자본주의 :금융?소비?돈에 관한 33가지 비밀","EBS <자본주의> 제작팀","가나 : 가나문화콘텐츠","2013","9788957365793","3","6"
"000001577879","(내 멋대로) 초능력 뽑기","최은옥 글","주니어김영사 : 김영사","2022","9788934944263","8","6"
"000001590036","(도슨트 정우철의) 미술 극장 :오늘보다 더 눈부시게 살고 싶은 당신에게 .2","정우철 지음","EBS Books : 한국교육방송공사(EBS)","2022","9788954772600","6","6"
"000001516332","(부를 창조하는 생각의 뿌리) 웰씽킹 :10억 빚더미를 연매출 6,000억과 맞바꾼 부의 원리 =Wealthinking","켈리 최 지음","다산북스","2021","9791130677774","3","6"
"000000963992","(송사무장의 부동산) 경매의 기술","송희창 지음","지혜로","2017","9791187799023","3","6"
"000001577825","(이상한 과자 가게) 전천당 .16","히로시마 레이코 글","길벗스쿨","2022","9791164064748","8","6"
"000001395176","(이상한 과자 가게) 전천당 .7","히로시마 레이코 글","길벗스쿨","2020","9791164062270","8","6"
"000001627727","(흔한남매) 별난 세계 여행 .1 ,세계 유명 박물관","흔한남매 원작","Mirae N 아이세움: 미래엔","2023","9791168415355","9","6"
"000001588132","80세의 벽","와다 히데키 지음","한스미디어: 한즈미디어","2022","9791160078671","5","6"
"000001589690","AI 2041 :10개의 결정적 장면으로 읽는 인공지능과 인류의 미래","리카이푸","한빛비즈","2023","9791157846405","3","6"
"000001590672","GPT 제너레이션 :챗GPT가 바꿀 우리 인류의 미래: Chat GPT","이시한 지음","북모먼트: 북로망스","2023","9791191891270","3","6"
"000001009308","太白山脈 :趙廷來 大河小說 .1 ,제1부 恨의 모닥불","조정래 [저]","해냄출판사","2007","9788973377947","8","6"
"000000759665","개인주의자 선언 :판사 문유석의 일상유감","문유석 [지음]","문학동네","2015","9788954637756","3","6"
"000001516459","거인의 포트폴리오 :월급을 쪼개서 경제적 자유를 만드는 23가지 전략","강환국 지음","Page2(페이지2북스)","2021","9791190977432","3","6"
"000001575785","기다릴 때 우리가 하는 말들 :김병운 소설집","김병운 지음","민음사","2022","9788937456039","8","6"
"000001511409","기분이 태도가 되지 않으려면 :감정 기복이 심한 당신에게 필요한 기분 수업","나겨울 지음","Rise(떠오름)","2021","9791197080845","1","6"
"000000592869","기억 전달자","로이스 로리 글","비룡소","2007","9788949120744","8","6"
"000001627935","꿀벌의 예언 :베르나르 베르베르 장편소설 .1","베르나르 베르베르 지음","열린책들","2023","9788932923413","8","6"
"000001031674","나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식","팀 페리스 지음","빛과향기: 다른상상","2017","9791185584454","3","6"
"000001297072","나는 개다","백희나 글?그림","책읽는곰","2019","9791158361365","8","6"
"000001554646","나는 아끼는 대신 더 벌기로 했다 :N잡 워킹맘의 수익형 블로그 만들기","율마 지음","경이로움: 사이다경제","2022","9791197772849","3","6"
"000001628517","나도라키의 머리 :사와무라 이치 장편소설","사와무라 이치 지음","art(아르테): 북이십일","2023","9788950927417","8","6"
"000001575449","나의 문화유산답사기 :한양도성 밖 역사의 체취 .12 ,서울편 4 : 강북과 강남","유홍준 지음","창비","2022","9788936479206","9","6"
"000001612201","내가 가진 것을 세상이 원하게 하라 :최인아 대표가 축적한 일과 삶의 인사이트","최인아 지음","해냄출판사","2023","9791167140609","3","6"
"000001556696","노랜드 :천선란 소설집","천선란 지음","한겨레출판: 한겨레엔","2022","9791160404944","8","6"
"000000347357","눈먼 자들의 도시","주제 사라마구 지음","해냄출판사","2002","9788973374939","8","6"
"000001581712","닥터 데스의 유산 :나카야마 시치리 장편소설","나카야마 시치리 지음","블루홀6(블루홀식스)","2022","9791189571849","8","6"
"000001508416","달러구트 꿈 백화점 :이미예 장편소설 .2 ,단골손님을 찾습니다","이미예 지음","팩토리나인","2021","9791165343729","8","6"
"000001228377","당신이 옳다 :정혜신 적정심리학","정혜신 지음","해냄출판사","2018","9788965746669","1","6"
"000001619599","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 지음","어크로스 : 어크로스출판그룹","2023","9791167740984","1","6"
"000001591490","도쿄 :두 권으로 즐기는 완벽한 여행 분리형 가이드북 : 2023-24 최신개정판 .1 ,테마북 =Tokyo : theme book","정숙영 지음","길벗","2023","9791140703425","9","6"
"000001576653","랑과 나의 사막 :천선란 소설","천선란 지음","H(현대문학)","2022","9791167901354","8","6"
"000000972453","레버리지 :자본주의 속에 숨겨진 부의 비밀","롭 무어 지음","다산북스: 다산3.0","2017","9791130612249","3","6"
"000001320697","레전드 영어 회화사전 =English-Korean conversation dictionary","더 콜링 지음","Language Books(랭귀지북스)","2019","9791156350965","7","6"
"000001402083","만복이네 떡집","김리리 글","비룡소","2010","9788949161341","8","6"
"000001577908","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42","김혜남 지음","메이븐","2022","9791190538510","1","6"
"000001591521","메리골드 마음 세탁소 :윤정은 장편소설 =Marigold mind laundry","윤정은 지음","북로망스","2023","9791191891287","8","6"
"000001555566","멘탈을 바꿔야 인생이 바뀐다 :원하는 것에만 집중해, 당신의 인생을 놀랍게 변화시켜라: 나의 잠재력을 최대로 끌어올려 100% 성공하는 삶을 사는 방법","박세니 지음","Mindset: 바이포엠 스튜디오","2022","9791191043761","3","6"
"000001228385","무기가 되는 스토리 :브랜드 전쟁에서 살아남는 7가지 문장 공식 : 3,000개 기업을 구원한 책","도널드 밀러 지음","윌북","2018","9791155811856","3","6"
"000000643532","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침","기시미 이치로","인플루엔셜","2014","9788996991342","1","6"
"000001043855","미중전쟁 .2 ,백악관 워룸","김진명 [지음]","쌤앤파커스","2017","9788965705468","8","6"
"000001563124","미키7 :에드워드 애슈턴 SF 장편소설","에드워드 애슈턴 지음","황금가지","2022","9791170521730","8","6"
"000001620040","범죄도시 [비디오녹화자료] .2","이상용 감독","인조인간 [제작]","2022","","6","6"
"000001627734","변론의 법칙 :마이클 코넬리 장편소설","마이클 코넬리 지음","알에이치코리아(RHK)","2023","9788925576480","8","6"
"000001031882","봉제인형 살인사건","다니엘 콜 지음","북플라자","2017","9788998274931","8","6"
"000001611528","불안한 완벽주의자를 위한 책 :자기증명과 인정욕구로부터 벗어나는 10가지 심리학 기술","마이클 투히그","수오서재","2023","9791190382991","1","6"
